A1;A2;A3;court branch;ECLI
0;0;0;CHAMBER;ECLI:CE:ECHR:2004:0302JUD004810299
1;0;0;CHAMBER;ECLI:CE:ECHR:2010:1123JUD006004108
1;0;0;CHAMBER;ECLI:CE:ECHR:2004:1216JUD006879201
0;0;0;GRANDCHAMBER;ECLI:CE:ECHR:2004:0428JUD005667900
0;0;0;CHAMBER;ECLI:CE:ECHR:2004:0518JUD004980699
0;0;0;CHAMBER;ECLI:CE:ECHR:2004:0527JUD000841502
0;0;0;CHAMBER;ECLI:CE:ECHR:2004:0527JUD006674601
0;2;1;GRANDCHAMBER;ECLI:CE:ECHR:2004:0622JUD003144396
0;0;0;CHAMBER;ECLI:CE:ECHR:2002:0725JUD004855399
0;1;0;CHAMBER;ECLI:CE:ECHR:2004:0622JUD006994901
0;0;0;CHAMBER;ECLI:CE:ECHR:2004:0629JUD001896602
0;0;0;CHAMBER;ECLI:CE:ECHR:2004:0629JUD005684800
0;0;0;CHAMBER;ECLI:CE:ECHR:2004:0720JUD006075000
1;1;1;CHAMBER;ECLI:CE:ECHR:2004:0729JUD003681397
1;1;1;CHAMBER;ECLI:CE:ECHR:2005:0517JUD004366298
1;1;1;GRANDCHAMBER;ECLI:CE:ECHR:2006:0329JUD003681397
0;2;2;GRANDCHAMBER;ECLI:CE:ECHR:2004:0928JUD004491298
0;2;2;CHAMBER;ECLI:CE:ECHR:2004:1012JUD006066900
0;0;0;CHAMBER;ECLI:CE:ECHR:2004:1019JUD001770702
0;0;0;CHAMBER;ECLI:CE:ECHR:2004:1116JUD004167398
1;0;0;CHAMBER;ECLI:CE:ECHR:2004:1118JUD001502102
0;0;0;CHAMBER;ECLI:CE:ECHR:2004:1118JUD006952901
0;0;0;CHAMBER;ECLI:CE:ECHR:2004:1130JUD003509102
2;2;2;GRANDCHAMBER;ECLI:CE:ECHR:2004:1130JUD004893999
0;0;0;CHAMBER;ECLI:CE:ECHR:2005:0113JUD000512403
0;0;0;CHAMBER;ECLI:CE:ECHR:2005:1013JUD002466902
0;0;0;CHAMBER;ECLI:CE:ECHR:2005:0721JUD002407702
0;0;1;CHAMBER;ECLI:CE:ECHR:2005:0118JUD007415301
0;0;0;CHAMBER;ECLI:CE:ECHR:2005:0222JUD003508702
0;0;0;CHAMBER;ECLI:CE:ECHR:2005:0224JUD002596402
0;0;0;CHAMBER;ECLI:CE:ECHR:2005:0224JUD003649402
0;0;0;CHAMBER;ECLI:CE:ECHR:2005:0224JUD004388302
0;0;0;CHAMBER;ECLI:CE:ECHR:2005:0317JUD003830502
0;0;0;CHAMBER;ECLI:CE:ECHR:2005:0322JUD000626702
0;0;1;CHAMBER;ECLI:CE:ECHR:2005:0324JUD005825400
0;0;0;CHAMBER;ECLI:CE:ECHR:2005:0405JUD005892800
